alpha,Cl,Cd,Cm
-14.999999999999998,-0.8163219067960557,0.18901927894095608,0.0901401392554307
-14.500000000000002,-0.7983482633588165,0.1843552491657903,0.0901401392554307
-14.0,-0.777216841359124,0.17969121939062452,0.0901401392554307
-13.5,-0.7533588859219723,0.1750271896154588,0.0901401392554307
-13.0,-0.7272056421723554,0.17036315984029302,0.0901401392554307
-12.5,-0.6991883552352673,0.16569913006512724,0.0901401392554307
-12.000000000000002,-0.6697382702357022,0.16103510028996149,0.0901401392554307
-11.5,-0.639286632298654,0.1563710705147957,0.0901401392554307
-11.0,-0.6082646865491167,0.15170704073962993,0.0901401392554307
-10.5,-0.5771036781120844,0.14704301096446415,0.0901401392554307
-10.0,-0.5462348521125513,0.14237898118929837,0.0901401392554307
-9.5,-0.5160894536755112,0.13771495141413262,0.0901401392554307
-9.0,-0.4870987279259583,0.13305092163896684,0.0901401392554307
-8.5,-0.45969391998888653,0.12838689186380106,0.0901401392554307
-8.0,-0.4343062749892899,0.1237228620886353,0.0901401392554307
-7.499999999999999,-0.4113670380521626,0.11905883231346952,0.0901401392554307
-7.0,-0.39130745430249864,0.11439480253830375,0.0901401392554307
-6.5,-0.37455876886529194,0.10973077276313799,0.0901401392554307
-6.000000000000001,-0.3615522268655366,0.10506674298797224,0.0901401392554307
-5.5,-0.3527190734282267,0.10040271321280646,0.0901401392554307
-5.0,-0.3484905536783562,0.09573868343764068,0.0901401392554307
-4.5,-0.3363103253503615,0.09119601488466635,0.0870092662603577
-4.0,-0.3033345494286829,0.0868960687760749,0.0786849739544894
-3.5,-0.2549105895067778,0.08269799616697307,0.0667697523568515
-3.0000000000000004,-0.19638580917810416,0.07846094811246757,0.05286609148646992
-2.5,-0.1331075720361196,0.07404407566766533,0.0385764813623703
-2.0,-0.0704232416742819,0.06930652988767284,0.0255034120035786
-1.5000000000000002,0.0003468957290769744,0.063792575763675,0.012382743097285605
-1.0,0.0853369159166389,0.0577013966415162,-0.0019441069590179
-0.5,0.1753809981764662,0.051874521108292077,-0.0157163100808566
0.0,0.2613133217966217,0.047153477751098634,-0.027173038183755
0.5,0.3421577447146814,0.04341655805723184,-0.0366809325513925
1.0,0.4223483431214091,0.040077649040169236,-0.0453795857138254
1.5000000000000002,0.5008346236846491,0.0372816725762784,-0.052667596456143
2.0,0.5765660930722456,0.03517355054192712,-0.0579435635634348
2.5,0.6513145206726397,0.033475277589607916,-0.0619397576165296
3.0000000000000004,0.7267519365951787,0.03184482593132388,-0.0657235439854987
3.5,0.8016782385890648,0.030331083782707317,-0.0691961636392947
4.0,0.8748933244035018,0.028982939359390798,-0.0722588575468703
4.5,0.9451970917876918,0.027849280877006517,-0.0748128666771782
5.0,1.0113894384908382,0.02697899655118716,-0.0767594319991709
5.5,1.0722702622621434,0.02642097459756516,-0.0779997944818013
6.000000000000001,1.1266394608508106,0.02622410323177284,-0.078435195094022
6.5,1.1766274443971825,0.02643801344228544,-0.0780802107726507
7.0,1.2248261333010515,0.02706162640618788,-0.0771443430163083
7.499999999999999,1.2707276907007945,0.028067765622026633,-0.0758212196366518
8.0,1.3138242797347892,0.029429254588348316,-0.0743044684453383
8.5,1.3536080635414114,0.031118916803699638,-0.0727877172540248
9.0,1.3895712052590392,0.03310957576662708,-0.0714645938743683
9.5,1.4212058680260498,0.03537405497567736,-0.0705287261180259
10.0,1.448004214980819,0.03788517792939708,-0.0701737417966547
10.5,1.473105156331314,0.04180569649921128,-0.0716808771020375
11.0,1.4968530441791952,0.048151529782496164,-0.0755914937127828
11.5,1.5145482045033831,0.056675252116724154,-0.0809894076707862
12.000000000000002,1.5214909632827969,0.06712943783936813,-0.08695843501794313
12.5,1.4737154483014328,0.0854096162431824,-0.0955017637554694
13.0,1.3637237027539288,0.11294962119829223,-0.1071974077357357
13.5,1.2415179257351672,0.1428094839082255,-0.1189914217773686
14.0,1.1571003163400304,0.16804923557651016,-0.1278298606989952
14.500000000000002,1.1087571060504853,0.18786339405319602,-0.13371940477054653
14.999999999999998,1.065915007064027,0.2060803658892248,-0.13872551377226017
15.5,1.035286939548826,0.22271101533946341,-0.1428824117882222
16.0,1.0235858236730544,0.23776620665877815,-0.1462243229025187
16.5,1.027467172666207,0.2510606686619618,-0.1488375112423813
17.0,1.0325560198653743,0.26297430953916645,-0.1509693287481556
17.5,1.0370040133512883,0.27436576260829754,-0.1528956312235985
18.0,1.0408293778641204,0.28609366118726015,-0.1548922744724667
18.5,1.0440503381440427,0.2983260997030262,-0.1570251757934053
19.0,1.0466851189312267,0.310625993519517,-0.1591503236707561
19.5,1.0487519449658442,0.3229442073600612,-0.1612286806868206
20.0,1.0502690409880668,0.33523160594798757,-0.1632212094239005
20.5,1.0512546317380669,0.3475315416504435,-0.1651497032067279
21.0,1.0517269419560153,0.35985144671643204,-0.1670305940109098
21.5,1.0517041963820841,0.37208830569206613,-0.1688168023950605
22.0,1.051204619756445,0.38413910312345856,-0.1704612489177939
22.5,1.05024643681927,0.3959917218888042,-0.1719772817242464
23.0,1.0488478723107308,0.4077008847008256,-0.1734019280833753
23.5,1.0470271509709992,0.41926383585742655,-0.1747236272395255
24.000000000000004,1.0448024975402461,0.43067781965651103,-0.1759308184370421
24.5,1.0421921367586442,0.4419400803959827,-0.17701194092027
25.0,1.0392142933663646,0.4531732598598091,-0.1779185940423956
25.5,1.0358871921035797,0.4644902114303515,-0.17860791817658161
26.0,1.0322290577104607,0.4758762525052005,-0.17908822485279238
26.5,1.0282581149271792,0.4873167004819465,-0.1793678256009923
27.0,1.0239925884939074,0.4987968727581801,-0.17945503195114582
27.5,1.0194507031508169,0.5103020867314921,-0.17935815543321726
28.0,1.0146506836380795,0.521817659799473,-0.1790855075771711
28.500000000000004,1.0096107546958666,0.5333289093597133,-0.17864539991297165
29.000000000000004,1.0043491410643501,0.5448211528098036,-0.17804614397058335
29.500000000000004,0.9988840674837018,0.5562797075473344,-0.17729605127997056
29.999999999999996,0.9932337586940938,0.5676898909698963,-0.17640343337109773
30.5,0.9874164394356971,0.5790370204750803,-0.1753766017739292
31.0,0.9814503344486837,0.5903064134604764,-0.17422386801842932
31.5,0.9753536684732257,0.6014833873236757,-0.17295354363456258
32.0,0.9691446662494942,0.6125532594622681,-0.1715739401522933
32.5,0.9628415525176613,0.623501347273845,-0.17009336910158593
33.0,0.956462552017899,0.6343129681559965,-0.1685201420124048
33.5,0.9500258894903788,0.644973439506313,-0.16686257041471433
34.0,0.943549789675272,0.6554680787223858,-0.1651289658384789
34.5,0.9370524773127509,0.6657822032018048,-0.163327639813663
35.0,0.9305521771429871,0.6759011303421608,-0.16146690387023088
35.5,0.9240671139061523,0.6858101775410445,-0.15955506953814697
36.0,0.9176155123424182,0.6954946621960465,-0.15760044834737574
36.5,0.9112155971919562,0.704939901704757,-0.1556113518278815
37.0,0.9048855931949389,0.714131213464767,-0.1535960915096286
37.5,0.8986437250915371,0.7230539148736671,-0.15156297892258158
38.0,0.8925082176219231,0.7316933233290475,-0.14952032559670475
38.5,0.8864972955262685,0.7400347562284992,-0.14747644306196245
39.0,0.8806291835447451,0.7480635309696123,-0.14543964284831915
39.5,0.8749221064175243,0.7557649649499782,-0.14341823648573923
40.0,0.8693942888847783,0.7631243755671865,-0.14142053550418707
40.5,0.8640639556866786,0.7701270802188285,-0.13945485143362701
41.0,0.8589493315633968,0.7767583963024945,-0.13752949580402352
41.5,0.8540686412551048,0.7830036412157749,-0.135652780145341
42.0,0.8494401095019745,0.788848132356261,-0.13383301598754374
42.5,0.8450819610441772,0.7942771871215425,-0.13207851486059627
43.0,0.8410124206218851,0.7992761229092104,-0.13039758829446288
43.5,0.8372497129752696,0.8038302571168551,-0.12879854781910796
44.0,0.8338120628445023,0.8079249071420679,-0.12728970496449601
44.5,0.8307176949697554,0.8115453903824381,-0.12587937126059126
45.0,0.8279848340912006,0.8146770242355574,-0.12457585823735821
45.5,0.8256317049490091,0.8173051260990162,-0.12338747742476126
46.0,0.8236765322833532,0.8194150133704046,-0.12232254035276474
46.5,0.8221375408344044,0.8209920034473137,-0.1213893585513331
47.0,0.8210329553423343,0.8220214137273336,-0.1205962435504307
47.5,0.820381000547315,0.8224885616080552,-0.11995150688002193
48.00000000000001,0.8201999011895177,0.8223787644870691,-0.11946346007007119
48.5,0.8205078820091148,0.8216773397619657,-0.1191404146505429
49.0,0.8213231677462773,0.8203696048303357,-0.11899068215140138
49.5,0.8226639831411775,0.8184408770897696,-0.11902257410261109
50.0,0.8245485529339871,0.8158764739378582,-0.1192444020341364
