alpha,Cd,Cs,Cl,Cm
-10.0,0.1028496958630713,-4.970266483175547e-24,-0.4060358502753723,0.0550990480582689
-9.5,0.09718397464482088,-9.302148562803722e-24,-0.44385293131942416,0.05373034384880077
-9.0,0.09161770067015865,-2.198289573554086e-23,-0.4741345054395691,0.051142423233670554
-8.5,0.08614883239399174,-4.2540159402165874e-23,-0.4977178511829077,0.04746457914466703
-8.0,0.08077532827122724,-7.050159096345767e-23,-0.5154402470965408,0.04282610451357895
-7.5,0.07549514675677228,-1.053948418201952e-22,-0.5281389717275694,0.037356292272195106
-7.0,0.07030624630553402,-1.4674756337315735e-22,-0.536651303623094,0.031184435352304266
-6.5,0.0652065853724195,-1.94087407023123e-22,-0.5418145213302155,0.0244398266856952
-6.0,0.0601941224123359,-2.4694202417087115e-22,-0.5444659033960346,0.017251759204156683
-5.5,0.05526681588019032,-3.048390662171807e-22,-0.5454427283676522,0.009749525839477493
-5.0,0.0504226242308899,-3.673061845628305e-22,-0.5455822747921689,0.0020624195234464
-4.5,0.04545869302908035,-4.852772709800318e-22,-0.5164772120836574,-0.008610969179614437
-4.0,0.0403444322748116,-6.841919162753791e-22,-0.4407589545148366,-0.023463020934474596
-3.5,0.035336197076096976,-9.25336320401227e-22,-0.3358228979207768,-0.039950899652982895
-3.0,0.030690342540949832,-1.1699966833099293e-21,-0.21906443813654838,-0.05553176924698816
-2.5,0.026663223777383525,-1.3794592049538408e-21,-0.10787897099722171,-0.0676627936283392
-2.0,0.0235111958934114,-1.5150100852853154e-21,-0.0196618923378672,-0.0738011367088848
-1.5,0.020968129030845464,-1.593094370401261e-21,0.046979815213181356,-0.07586136438236886
-1.0,0.018715346248367633,-1.6568047141524793e-21,0.10737788175953498,-0.07744631519450548
-0.5,0.016930382029296108,-1.707398728122166e-21,0.1650449805640406,-0.0785455620350991
0.0,0.0157907708569491,-1.7461340238935162e-21,0.2234937848895452,-0.079148677793954
0.5,0.015446644632402739,-1.7793957856478226e-21,0.28376108109376574,-0.07947293908126997
1.0,0.015192511526278284,-1.8093789788140737e-21,0.34394664603484254,-0.07972926704440202
1.5,0.01511198354597679,-1.831055886847014e-21,0.4031576387262576,-0.07989770137888728
2.0,0.015295613106224662,-1.8393987932013843e-21,0.4605012181814928,-0.079958281780263
2.5,0.015713426736433476,-1.8315353606027955e-21,0.516687351824163,-0.07969968749033426
3.0,0.016268619893862045,-1.8099484238780976e-21,0.57273004334973,-0.07900130796736232
3.5,0.016955800623373984,-1.777643024633895e-21,0.6281925061794459,-0.07797924823156857
4.0,0.01776837288032937,-1.7376242044767923e-21,0.6826379537345634,-0.07674961330317447
4.5,0.018698536530584772,-1.6928970050133931e-21,0.7356295994363342,-0.07542850820240136
5.0,0.019737287350493238,-1.646466467850302e-21,0.7867306567060111,-0.07413203794947074
5.5,0.02087441702690429,-1.6013376345941228e-21,0.8355043389648463,-0.07297630756460392
6.0,0.022098513157163952,-1.5605155468514597e-21,0.8815138596340918,-0.0720774220680224
6.5,0.02358425224462183,-1.5175949498829897e-21,0.9288116136606078,-0.07131708154929928
7.0,0.025535138447884013,-1.4669336832133196e-21,0.979706268880088,-0.07052660610605922
7.5,0.02798251941495457,-1.412681429844948e-21,1.031145448047036,-0.06974653077060083
8.0,0.030958304973705702,-1.358987872780374e-21,1.0800767739159551,-0.06901739057522278
8.5,0.03449496713187766,-1.3100026950220963e-21,1.1234478692413494,-0.06837972055222372
9.0,0.03862554007707875,-1.2698755795726137e-21,1.1582063567777219,-0.06787405573390225
9.5,0.0433836201767854,-1.2427562094344249e-21,1.181299859279576,-0.06754093115255702
10.0,0.04880336597834205,-1.232794267610029e-21,1.1896759995014154,-0.0674208818404867
10.5,0.05580821163444592,-1.2470041563884788e-21,1.189133433306183,-0.06926799257142527
11.0,0.06627482861831965,-1.2828706185025538e-21,1.1875712414485422,-0.07395317258364396
11.5,0.07922748479407984,-1.3302488476203426e-21,1.1850876840205773,-0.08019219360624719
12.0,0.0936904480258431,-1.3789940374099341e-21,1.1817810211143729,-0.0867008273683394
12.5,0.11138494392051793,-1.433366612863428e-21,1.1679087624369973,-0.09414038496940347
13.0,0.1333608053215411,-1.4986779338953496e-21,1.1392200860184896,-0.10324023424134397
13.5,0.15763521094782165,-1.5663595965574256e-21,1.104050754435393,-0.1128182320118979
14.0,0.18222533951826855,-1.6278431969013822e-21,1.0707365302642493,-0.1216922351088023
14.5,0.2090952596328179,-1.6778081057743264e-21,1.0407056899781189,-0.12933055710680386
15.0,0.2385975815963305,-1.722268328504924e-21,1.0096896000655085,-0.13646317069637642
15.5,0.2663322966851027,-1.7696574128672416e-21,0.9774786581261287,-0.1438004213788477
16.0,0.28789939617543087,-1.8284089066353454e-21,0.9438632617596906,-0.1520526546555453
16.5,0.3048489091352491,-1.900079491549716e-21,0.9092321872293123,-0.16117875718311558
17.0,0.3215833932973802,-1.9805971224651847e-21,0.8740961053107327,-0.17067076791950536
17.5,0.33798163293545314,-2.0699522568273426e-21,0.8384282553725938,-0.180538760817993
18.0,0.3539224123230971,-2.168135352081781e-21,0.8022018767835378,-0.190792809831857
18.5,0.36928451573394105,-2.275136865674092e-21,0.7653902089122069,-0.2014429889143758
19.0,0.3839467274416142,-2.3909472550498657e-21,0.7279664911272431,-0.21249937201882765
19.5,0.3977878317197455,-2.515556977654694e-21,0.6899039627972886,-0.22397203309849115
20.0,0.41068661284196406,-2.6489564909341693e-21,0.6511758632909855,-0.23587104610664467
20.5,0.422521855081899,-2.7911362523338815e-21,0.6117554319769761,-0.24820648499656658
